"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format","Citations"
"N29032","Farquhar, George,","1677?-1707.","The inconstant:",NULL,"London :","printed for J. Knapton, G. Strahan, and B. Lintott,",1718.,1718,"[10],72,[2]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 459"
"N29835",NULL,NULL,"Advice to a son,","The fourth edition.","London :","printed, and sold by W. Taylor at the Ship in Pater-Noster-Row,",1716.,1716,"[12], 202, [14] p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 328"
"N30","Lover of Mankind.","","A discourse concerning the plague,",NULL,"London :","printed for J. Roberts near the Oxford-Arms in Warwick-Lane,",1721.,1721,"40p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 761"
"N30310","Cheselden, William,","1688-1752.","An appendix to the fourth edition of the Anatomy of the human body. Printed separately for the use of those who have the former editions. By W. Cheselden, ...",NULL,"London :","printed by W. Bowyer: and sold by James and John Knapton, A. Bettesworth, J. Osborn and T. Longman, J. Noon, and J. Clark,",1730.,1730,"19,[1]p.,3 plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1582"
"N30404","Synge, Edward,","1659-1741.","An answer to all the excuses and pretences","The tenth edition corrected.","London :","printed for Richard Sare,",1712.,1712,"48p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 138"
"N3052","Spenser, Edmund,","1552?-1599.","Calendarium pastorale,",NULL,"[London] :","Typis Londoniensibus, prostant apud Ch. Rivington, & Joh. Knapton & J. Fletcher, Oxon,","[1735?]",1735,"xiv,[4],240,245-254p.,plates :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1826"
"N30833","Reeves, William,","1667-1726.","The great importance of redeeming time.",NULL,"London :","printed by W. B. for Richard Sare at Gray's-Inn-Gate in Holborn,",1714.,1714,"24p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 200"
"N30854","Epictetus.","","Epictetus his morals,",NULL,"London :","printed for D. Midwinter, R. Ware, W. Innys, C. Rivington, A. Ward, J. and P. Knapton, S. Birt, T. Longman, R. Hett, C. Hitch, J. Hodges, S. Austen, J. Wood and C. Woodward, J. Pemberton, and T. Harris,","MDCCXLI. [1741]",1741,"[12],xxxiv,[4],337,[5]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2941"
"N30978",NULL,NULL,"Arturi Jonstoni Psalmi Davidici, juxta editionem in usum Serenissimi Principis.",NULL,"Londini :","apud W. Innys, D. Browne, et Paul. Vaillant. Typis Gul. Bowyer,",1741.,1741,"[2],157,[1]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2890"
"N31263","Great Britain.",NULL,"An exact list of the Lords spiritual and temporal:","The ninth edition corrected.","London :","printed for R. Gosling,",1722.,1722,"[2],72,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 832"
"N32343","Great Britain.",NULL,"A bill for the better preservation of the game.",NULL,"[London?,","","1731]",1731,"5,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1651"
"N3239","Rowe, Nicholas,","1674-1718.","Mecænas.",NULL,"London :","printed for Bernard Lintott,",1714.,1714,"[4],2p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 225"
"N32998","Great Britain.",NULL,"A bill to prevent or prohibit any person or persons His Majesty's subjects, or residing within this kingdom, to advance or lend any sum or sums of money to any foreign prince, state or potentate, without licence ...",NULL,"[London,","","1730]",1730,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1504"
"N33034","King, William,","1663-1712.","An historical account of the heathen gods and heroes;",NULL,"London :","printed for Bernard Lintott, at the Cross-Keys, between the two Temple Gates in Fleetstreet,","[1710]",1710,"[8],158,[2]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 38"
"N33172","Stanhope, George,","1660-1728.","The honour both of God and man best consulted by good works.",NULL,"London :","printed for Richard Sare,",1715.,1715,"19,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 259"
"N33496","Prévost,","1697-1763.","The life of Mr. Cleveland, natural son of Oliver Cromwell.",NULL,"London :","printed for E. Symon, and N. Prevost,",1731.,1731,"xv,[1],248p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1662"
"N33498","Prévost,","1697-1763.","The life of Mr. Cleveland, natural son of Oliver Cromwell.",NULL,"London :","printed for N. Prevost; and E. Symon,",1731.,1731,"v.2([2],277,[5]p.) ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1662"
"N33525","Rushworth, John,","1612?-1690.","Historical collections",NULL,"London :","printed for D. Browne, J. Walthoe, J. Knapton, R. Knaplock, S. Buckley, J. and B. Sprint, B. Tooke, J. Darby, D. Midwinter, J. Tonson, B. Cowse, E. Bell, R. Robinson, J. Round, S. Burrows, E. Symon, T. Wotton, and T. Jauncey,","1721-22.",1721,"8v.,plate ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 756"
"N33526","Rushworth, John,","1612?-1690.","Historical collections",NULL,"London :","printed for D. Browne, J. Walthoe, J. Knapton, R. Knaplock, S. Buckley, J. and B. Sprint, B. Tooke, J. Darby, D. Midwinter, J. Tonson, B. Cowse, E. Bell, R. Robinson, J. Round, S. Burrows, E. Symon, T. Wotton, and T. Jauncey,","1721-22.",1721,"8v.,plate ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 756"
"N3392","Freind, John,","1675-1728.","Emmenologia:","Editio tertia.","Londini :","impensis Gul. & Joh. Innys,",1720.,1720,"[16],194,[14]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 605"
"N3418","Pearson, John,","1613-1686.","An exposition of the creed.","The tenth edition revised and corrected.","London :","printed by W. Bowyer, for S. Keble at the Turks-Head, and R. Gosling at the Mitre and Crown against St. Dunstan's Church in Fleetstreet,","MDCCXV. [1715]",1715,"[10],398,[10]p.,plate :","port. ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 240"
"N34318",NULL,NULL,"A paraphrase and commentary on the New Testament.","The third edition.","London :","printed by W. Bowyer, for Awnsham and John Churchill,","1709-10.",1709,"2v.,plates :","port.,map ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 18"
"N34382","Santa Cruz de Marcenado, Alvaro Navia Osorio,","1684-1732.","Reflections, military and political.",NULL,"London :","printed for G. Strahan; D. Brown; J. Stagg; A. Millar; O. Payne and T. Woodman; J. Millan; and J. Brindley,",1737.,1737,"v.1 ([32],510p.) ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2384"
"N34855",NULL,NULL,"Metaphysical and theological papers concerning reason and revelation.",NULL,"London :","printed for J. Roberts,",1742.,1742,"viii,[2],88,[2]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2983"
"N34937","Cordier, Mathurin,","1479-1564.","Maturini Corderii Colloquia scholastica, anglo-latina, in varias clausulas distributa:",NULL,"Londini :","execudebat T. Hodgkin, pro Societate Stationariorum,","MDCCXIII. [1713]",1713,"[8],416p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 149"
"N35111","Purry, Jean Pierre,","fl. 1718-1731.","Memoire presenté à Sa. Gr. Mylord Duc de Newcastle, Chambellan de S. M. le Roi George, &c. & Secretaire d'Etat: sur l'état présent de la Caroline & sur les moyens de l'améliorer; par Jean Pierre Purry ...",NULL,"[London :","Chez G. Bowyer, & se trouve chez Paul Vaillant,","1724?]",1724,"11,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1009A"
"N3537","Sturmy, Daniel,","d. 1722.","The husbandman's paradise describ'd,",NULL,"London :","printed by W. B. for Richard Sare,",1712.,1712,"[8],111,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 106"
"N35533","Farquhar, George,","1677?-1707.","The comedies of Mr. George Farquhar.","The fourth edition.","London :","printed for J. Knapton, R. Smith, G. Strahan, and Bernard Lintot,",1721.,1721,"v.2 ([12],72,[12],82,[10],88,[6],87,[5]p.) ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 781"
"N36196","Theed, Richard,","b. 1683 or 4.","Sacred biography,",NULL,"London :","printed by W. Bowyer for Henry Clements,",1712.,1712,"[8],320p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 131"
"N36336",NULL,NULL,"Selectæ e profanis scriptoribus historiæ.","Nova editio, prioribus longè emendatior.","Londini :","impensis H. Woodfall, C. Bathurst, L. Hawes et W. Clarke et R. Collins, W. Johnston, T. Caslon, [and 4 others in London],",1767.,1767,"xv,[9],320,[4]p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 4678"
"N36390","Sherlock, Thomas,","1678-1761.","The proceedings of the vice-chancellor and university of Cambridge against Dr. Bentley,","The second edition.","London :","printed for James Bettenham,",1719.,1719,"12p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 491"
"N36435","Mangey, Thomas,","1688-1755.","The providential sufferings of good men.",NULL,"London :","printed for W. and J. Innys,",1720.,1720,"29,[3]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 615"
"N36530",NULL,NULL,"Synopsis communium locorum,","Editio quarta: accuratius recognita & castigata.","Londini :","impensis G. & J. Innys,",1727.,1727,"[12],276p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1299"
"N36563","Hall, Fayrer.","","A short account of the first settlement of the provinces of Virginia,",NULL,"London :","printed in the year,","MDCCXXXV. [1735]",1735,"22p.,plate :","map ;","4⁰.","Maslen & Lancaster. Bowyer ledgers, 2159"
"N36645","Bell, George,","1683 or 4-1734.","A sermon preached before the Right Honourable the Lord Mayor",NULL,"London :","printed by W. B. for Richard Sare,",1713.,1713,"20p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 182"
"N36693","Newcome, John,","1683 or 4-1765.","The conduct required in matters of faith.",NULL,"London :","printed for William and John Innys,",1720.,1720,"39,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 652"
"N36902","Collier, Jeremy,","1650-1726.","A short view of the profaneness and immorality of the English stage, &c.","[Fifth edition corrected].","London :","printed for G. Strahan, William Mears, and Richard Williamson,",1728.,1728,"[14],437,[3]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1254"
"N36946","Curteis, Thomas,","ca. 1660-1747.","The shortness and uncertainty of human life, and the proper use to be made of it.",NULL,"London :","printed for Richard Wilkin,",1724.,1724,"26p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1060"
"N36986","Campbell, John,","1708-1775.","The Spanish empire in America.",NULL,"London :","printed for M. Cooper,",1747.,1747,"viii,[4],330,[2]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2947"
"N37195","Broughton, John,","1673 or 4-1720.","Of the house of prayer. A sermon preach'd at the consecration of the chapel at Kew, within the parish of Kingston on Thames, on Wednesday, May 12. 1714, before the Right Reverend Father in God Jonathan Lord Bishop of Winton. By John Broughton, ...",NULL,"London :","printed by W. B. for R. Sare, and E. Place,",1714.,1714,"28p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 206"
"N37289","Dibben, Thomas,","1677 or 8-1741.","A sermon preach'd at Shaftsbury, May 24. 1711.",NULL,"London :","printed by W. B. for Richard Sare,",1712.,1712,"[8],24p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 108"
"N37509","Rogers, John,","1679-1729.","A sermon preached before the Corporation for the Relief of the Poor Widows and Children of Clergy-men,","","London :","printed for Tho. Woodward,",1719.,1719,"[4],28;6p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 506"
"N37572","Waterland, Daniel,","1683-1740.","A sermon preach'd before the Sons of the Clergy at their anniversary-meeting in the cathedral church of St. Paul, December 14. 1721. By Daniel Waterland, ...","","London :","printed for W. and J. Innys,",1722.,1722,"40p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 809"
"N38016","",NULL,"A paraphrase and comment upon the Epistles and Gospels,","The fifth edition.","London :","printed for J. and J Knapton; A. Bettesworth and C. Hitch; J. Hazard; E. Parker; R. Williamson; [and 4 others in London],",1732.,1732,"4v. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1879"
"N38185","Crossinge, Richard,","1668 or 9-1734?.","A practical discourse concerning the great duty of prayer.","","London :","printed for William and John Innys,",1720.,1720,"[8],237,[3]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 643"
"N38568","",NULL,"Penitential meditations of a soul touch'd with remorse","The second edition.","London :","printed for Bernard Lintott,","[1714?]",1715,"[16],92p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 231"
"N38663","Boyer, Abel,","1667-1729.","Le dictionnaire royal,","Nouvelle edition, revue, corrigée, & augmentée d","Londres :","chez J. & J. Knapton, J. Darby, D. Midwinter, A. Bettesworth, W. Innys, F. Fayram, J. Pemberton, J. Osborn & T. Longman, R. Ford, C. Rivington, R. Robinson, B. Motte, J. Hooke, F. Clay, J. Batley, E. Symon, D. Browne, W. Meadows, J. Lacy, T. Osborn, D. Lyon, R. J. & B. Wellington,","M.DCC.XXIX. [1729]",1729,"[1166]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1451"
"N38672","",NULL,"Abstract of the bill for the encouragement of seamen, to enter voluntarily into his Majesty's service.","","[London,","","1728]",1728,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1337"
"N40571","",NULL,"Novum Testamentum Domini nostri Jesu Christi: interprete Theodoro Beza.","","Londini :","excudebat J. Churchill,",1714.,1714,"347,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 196"
"N41755","Newton, Isaac,","1642-1727.","Opticks:","","London :","printed by W. Bowyer for W. Innys,",1717.,1717,"[8],382,[2]p.,plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 403"
"N41835","Stanhope, George,","1660-1728.","Nothing impracticable required of Christians.","","London :","printed by W. Bowyer, for Richard Sare,",1713.,1713,"20p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 183"
"N41972","Homer.","","The Odyssey of Homer.","","London :","printed for J. Roberts,",1717.,1717,"vi,30p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 282"
"N42532","",NULL,"The adventures of Melinthus:","The second edition.","London :","printed for R. Gosling; and J. Stagg,",1739.,1739,"2v. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2606"
"N42610","Cheselden, William,","1688-1752.","The anatomy of the human body.","The fourth edition. With the addition of an append","London :","printed by W. Bowyer; and sold by A. Bettesworth and C. Hitch,",1732.,1732,"[14],336p.,plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1819"
"N42840","Synge, Edward,","1659-1741.","An answer to all the excuses and pretences","The thirteenth edition corrected.","London :","printed for R. Williamson,",1732.,1732,"48p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1856"
"N43016","Taswell, William,","1652-1731.","Antichrist reveal'd among the sect of Quakers.","","London :","printed for Richard Sare,",1723.,1723,"[4],72p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 912"
"N43264","",NULL,"Good brother, being resolved, by God's assistance, to visit my diocese this next summer, I send the following questions to you; to which you are to write down as full and distinct an answer, as you are able, under every one of them. ...","","[London,","","1720]",1720,"4p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 647"
"N43579","",NULL,"Brevissimum metaphysicæ compendium, secundum mentem nominalium.","","Londini :","impensis Guil. & Joh. Innys,",1723.,1723,"40p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 964"
"N43808","Farquhar, George,","1677?-1707.","The beaux stratagem.","The fifth edition.","London :","printed for Bernard Lintott,",1714.,1714,"95,[1]p. :","ill. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 221"
"N43966","Wood, Thomas,","1661-1722.","A new institute of the imperial or civil law.","","London :","printed by W. B. for Richard Sare,",1712.,1712,"[2],xi,[3],414,[10];[4],144p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 116"
"N44233","",NULL,"The Christian institutes,","The third edition corrected and improv'd.","London :","printed by W. B. for Henry Clements,",1717.,1717,"[24],329,[7]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 405"
"N44274","Scott, John,","1639-1695.","The Christian life.","The fourth edition.","London :","printed for D. Midwinter, A. Bettesworth and C. Hitch, J. and J. Pemberton, R. Ware, C. Rivington, [and 6 others in London],",1739.,1739,"[20],316p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2676"
"N44393","Thomas, George,","1695?-1774.","Copy of the Honourable George Thomas, and George Lucas, Esquires, protests","","[London :","printed by William Bowyer for Ward & Chandler,","1736]",1736,"4 p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2227"
"N44669","Swift, Jonathan,","1667-1745.","Miscellanies in prose and verse.","","London :","printed for John Morphew, near Stationers Hall,","MDCCXI. [1711]",1711,"[14],91,[1],95-416p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 60"
"N45648","",NULL,"Selectae e profanis scriptoribus historiae.","Nova editio, prioribus longè emendatior.","Londini :","impensis H. Woodfall, C. Bathurst, L. Hawes et W. Clarke et R. Collins, W. Johnston, T. Caslon, [and 4 others in London],",1765.,1765,"xv,[9],320,[4]p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 4515"
"N45781","Swift, Jonathan,","1667-1745.","A vindication of His Excellency the Lord C---t,","The second edition.","London :","printed for T. Warner; and sold by the booksellers of London and Westminster, Oxford and Cambridge,",1730.,1730,"31,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1576"
